name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Portugal,2022-08-01,30.4,19.9,25.6,30.6,19.9,25.7,15.6,55.1,0,0,0,,0,0,32.8,21.5,252.6,1014.6,12.4,11.3,224.6,19.3,9,10,2022-08-01T06:37:52,2022-08-01T20:47:33,0.13,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
Portugal,2022-08-02,31,17.7,22.6,31.4,17.7,22.7,16.9,71.9,0,0,0,,0,0,28.8,25.6,269.5,1014.3,27.1,9.6,169.3,14.5,9,10,2022-08-02T06:38:44,2022-08-02T20:46:32,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
Portugal,2022-08-03,28,19,22.3,28.6,19,22.4,16.9,72.7,0,0,0,,0,0,46.4,25.3,335.5,1013.5,44.3,10.5,82.3,7.2,3,10,2022-08-03T06:39:37,2022-08-03T20:45:29,0.2,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
Portugal,2022-08-04,25.3,19.2,21.1,25.3,19.2,21.1,17.1,78.5,0,0,0,,0,0,32.4,24.4,338.9,1013.9,67.5,11.3,81.8,7.1,3,10,2022-08-04T06:40:30,2022-08-04T20:44:25,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
Portugal,2022-08-05,26.8,18.6,21.3,27.4,18.6,21.4,17,77.7,0,0,0,,0,0,27.4,24.1,310.1,1015.1,67.3,10,102,8.9,4,10,2022-08-05T06:41:23,2022-08-05T20:43:20,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
Portugal,2022-08-06,24.1,18.1,20,24.1,18.1,20,16.3,79.6,0,0,0,,0,0,29.5,25.4,250.1,1016.2,55,10.2,189.5,16.4,8,10,2022-08-06T06:42:16,2022-08-06T20:42:13,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08535099999,08534099999,D7126,08536099999,LPPT"
Portugal,2022-08-07,25.1,17.6,20.8,25.1,17.6,20.8,15.3,72.4,0,0,0,,0,0,28.8,18.1,244.6,1015.5,41.6,10.4,277.8,23.9,8,10,2022-08-07T06:43:10,2022-08-07T20:41:05,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08535099999,08534099999,D7126,08536099999,LPPT"
Portugal,2022-08-08,24.9,17,20.7,24.9,17,20.7,14.5,68.6,0,0,0,,0,0,29.5,18.5,260.6,1015.5,20.1,11.6,260.3,22.4,8,10,2022-08-08T06:44:03,2022-08-08T20:39:56,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
Portugal,2022-08-09,26.8,17.5,21.9,27.3,17.5,21.9,16,70.8,0,0,0,,0,0,33.5,21.5,275.3,1015,12.4,9.8,268.8,23.3,9,10,2022-08-09T06:44:57,2022-08-09T20:38:45,0.41,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
Portugal,2022-08-10,25.1,17.8,21.4,25.1,17.8,21.4,15.8,71.9,0,0,0,,0,0,28.8,22.3,239.5,1014,16.5,10.4,262.3,22.5,8,10,2022-08-10T06:45:51,2022-08-10T20:37:33,0.44,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
